,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
1059,37001,14.4,47914,4.2,74.3,20.94
1060,37013,22.0,43497,5.0,131.3,36.1
1061,37019,11.9,56227,5.6,96.2,33.61
1062,37021,11.5,50271,3.4,71.3,34.94
1063,37023,16.6,42179,4.2,125.3,23.52
1064,37025,11.1,62167,4.1,83.2,29.97
1065,37027,16.3,44798,4.4,119.1,15.86
1066,37031,13.3,53192,4.4,86.6,21.78
1067,37035,12.5,53348,4.1,114.6,22.16
1068,37047,23.1,37639,5.4,139.8,21.45
1069,37049,16.3,51390,4.6,98.0,34.12
1070,37051,18.6,44065,5.7,76.0,24.36
1071,37055,9.4,57316,5.9,95.7,30.47
1072,37057,15.2,47595,4.3,67.8,28.4
1073,37063,15.7,60045,4.0,41.6,11.87
1074,37067,16.6,50803,4.3,65.2,19.4
1075,37071,15.1,50016,4.6,101.8,22.25
1076,37077,12.6,53142,3.8,62.3,18.47
1077,37081,14.5,52284,4.7,65.5,18.22
1078,37085,16.4,51406,5.1,71.3,22.6
1079,37087,14.5,47872,4.0,92.6,26.19
1080,37089,10.7,51314,3.8,72.5,20.74
1081,37097,11.3,56559,4.2,90.3,15.94
1082,37101,15.1,58647,4.1,60.6,15.76
1083,37105,14.8,53297,5.1,114.2,29.79
1084,37107,24.7,39411,4.4,81.7,21.1
1085,37111,16.2,42853,4.0,77.5,24.36
1086,37119,11.4,65750,4.3,47.4,15.6
1087,37125,10.7,62781,4.4,102.8,10.28
1088,37129,15.5,53692,4.1,86.0,31.25
1089,37133,13.5,49634,5.2,65.6,14.44
1090,37141,12.6,52187,4.6,48.6,22.97
1091,37147,21.7,46229,4.8,72.2,22.9
1092,37151,15.8,44207,4.3,62.5,33.5
1093,37155,29.0,33714,6.5,114.2,12.07
1094,37157,16.3,46247,5.1,120.6,19.79
1095,37159,15.3,47541,4.7,72.8,43.37
1096,37161,16.1,40758,6.0,86.2,24.04
1097,37167,12.4,49871,4.1,100.7,17.89
1098,37169,14.1,48748,4.2,82.1,41.56
1099,37171,16.1,43023,4.1,139.4,19.38
1100,37179,9.1,77875,4.0,60.5,12.53
1101,37181,23.4,39847,6.2,101.9,31.67
1102,37183,8.9,77641,3.9,47.5,10.82
1103,37191,20.3,44592,5.0,69.7,15.3
1104,37193,18.5,42453,4.2,78.8,21.87
1105,37195,18.1,44825,7.2,81.9,13.47
1106,38017,8.6,64428,2.1,24.5,5.62
1107,39001,18.6,41644,7.1,77.4,50.49
1108,39003,15.2,51325,5.0,77.2,31.98
1109,39007,19.3,45157,5.9,58.7,16.36
1110,39013,11.1,52221,6.3,75.8,14.7
1111,39015,16.9,48207,5.7,76.6,50.49
1112,39017,10.7,64026,4.4,65.8,61.74
1113,39021,11.0,54335,4.1,61.0,36.05
1114,39023,15.4,47654,4.8,89.0,62.43
1115,39025,8.7,66193,4.4,73.0,42.11
1116,39027,13.0,50794,5.5,89.7,61.89
1117,39029,15.1,43123,5.9,66.2,14.55
1118,39033,15.5,45395,5.7,76.6,43.12
1119,39035,18.1,46918,5.8,50.1,41.73
1120,39037,9.2,53954,4.2,43.8,52.39
1121,39041,4.8,107676,3.5,48.1,13.47
1122,39043,12.4,54849,6.1,73.0,33.41
1123,39045,9.0,67276,4.3,62.5,25.2
1124,39047,15.6,46067,4.2,85.6,90.43
1125,39049,16.0,59214,4.0,59.4,30.5
1126,39053,19.0,43149,6.6,68.7,60.05
1127,39055,6.4,82744,4.7,45.6,24.49
1128,39057,9.8,68040,4.2,62.1,34.78
1129,39061,16.2,55178,4.4,62.8,48.66
1130,39063,9.7,54386,3.6,54.3,40.92
1131,39071,16.8,43840,5.9,90.1,27.93
1132,39077,14.8,48244,6.4,82.8,44.45
1133,39081,17.6,43520,7.3,93.4,34.66
1134,39083,10.7,52061,4.5,45.5,16.32
1135,39085,8.7,60521,5.1,61.4,36.94
1136,39087,19.5,43108,5.9,73.3,49.79
1137,39089,8.9,62658,4.2,56.7,14.99
1138,39091,11.1,54782,4.1,72.1,33.09
1139,39093,13.5,55443,6.1,59.6,37.35
1140,39095,17.9,47562,5.9,85.5,30.63
1141,39097,9.6,69937,3.9,63.2,34.06
1142,39099,18.4,43904,6.8,77.6,43.52
1143,39101,16.5,46450,5.0,92.0,43.1
1144,39103,6.0,72926,4.7,50.1,20.18
1145,39109,9.0,60800,4.2,60.2,39.0
1146,39113,15.9,48039,4.9,77.3,88.23
1147,39119,14.8,44884,5.6,85.0,15.09
1148,39131,20.0,43499,6.9,93.6,49.52
1149,39133,11.8,59490,5.0,50.6,19.72
1150,39135,9.9,52300,4.4,57.1,60.8
1151,39139,13.4,47141,5.4,59.4,38.15
1152,39141,16.3,50387,5.1,76.8,31.04
1153,39143,11.1,53058,4.7,60.7,25.34
1154,39145,21.4,41843,7.0,90.5,40.83
1155,39147,13.6,47805,4.7,61.2,28.96
1156,39149,8.1,60148,4.1,60.0,45.12
1157,39151,14.3,51214,5.2,76.7,23.62
