,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate,Strata
498,13089,19.4,47068.0,10.8,51.0,2.6,1.0
499,13117,7.2,81629.0,8.0,67.4,5.7,1.0
500,13121,17.7,53580.0,10.5,61.0,5.43,1.0
501,13135,13.6,57848.0,9.2,56.7,4.59,1.0
502,13139,17.8,47238.0,9.6,110.0,7.23,1.0
503,13215,20.2,36359.0,10.1,111.9,6.85,1.0
504,13223,8.8,61496.0,10.0,84.1,11.94,1.0
505,13245,25.9,37866.0,11.0,107.4,7.98,1.0
506,15003,9.5,67519.0,6.0,38.1,5.87,1.0
507,16001,13.9,50909.0,8.3,86.2,6.63,1.0
508,17019,19.6,45803.0,8.2,76.8,5.47,1.0
509,17031,16.8,51457.0,10.9,46.0,6.83,1.0
510,17043,6.9,72470.0,8.9,54.4,6.0,1.0
511,17089,11.0,65430.0,11.0,48.0,2.72,1.0
512,17097,9.0,74594.0,9.8,58.9,10.52,1.0
513,17099,13.2,49414.0,12.0,86.2,17.56,1.0
514,17111,7.3,69290.0,10.5,68.3,5.83,1.0
515,17113,11.7,59719.0,7.1,66.4,7.67,1.0
516,17119,14.3,51706.0,9.8,114.4,17.83,1.0
517,17143,14.3,50166.0,10.5,89.8,6.97,1.0
518,17197,8.5,71344.0,11.1,58.6,6.49,1.0
519,17201,17.5,44336.0,14.0,106.1,9.48,1.0
520,18035,24.2,36362.0,11.6,144.5,10.2,1.0
521,18043,12.4,49117.0,8.9,214.5,13.41,1.0
522,18089,17.7,45252.0,10.8,92.6,2.42,1.0
523,18095,18.0,39449.0,12.1,154.1,15.95,1.0
524,18097,20.8,39393.0,10.5,102.7,5.87,1.0
525,18127,10.9,56648.0,9.5,102.1,14.0,1.0
526,18141,15.9,42316.0,11.6,96.9,3.75,1.0
527,18163,16.9,41024.0,8.9,157.0,17.25,1.0
528,19113,9.9,54806.0,6.0,66.2,6.15,1.0
529,19153,11.0,54328.0,6.0,91.4,6.73,1.0
530,19163,15.0,47800.0,6.6,74.6,6.66,1.0
531,20091,6.6,71389.0,6.1,78.1,4.04,1.0
532,20173,15.3,45996.0,8.8,112.6,2.81,1.0
533,21013,30.2,26911.0,12.1,366.3,62.74,1.0
534,21015,9.2,64005.0,8.9,136.3,13.47,1.0
535,21019,19.1,38029.0,10.2,187.2,38.35,1.0
536,21037,13.0,47341.0,9.1,117.0,18.82,1.0
537,21043,23.2,34303.0,14.1,144.8,43.29,1.0
538,21051,38.0,24081.0,14.5,257.8,59.83,1.0
539,21067,20.0,45820.0,7.4,94.1,13.52,1.0
540,21071,29.9,28589.0,13.5,386.0,81.11,1.0
541,21089,17.3,40752.0,11.5,139.7,35.22,1.0
542,21095,33.7,28503.0,11.9,169.0,40.99,1.0
543,21111,17.3,42535.0,10.0,133.3,4.72,1.0
544,21115,23.4,34260.0,12.6,243.6,77.07,1.0
545,21117,13.3,51049.0,9.8,106.3,15.03,1.0
546,21121,33.9,25965.0,13.5,130.6,31.36,1.0
547,21133,23.2,33410.0,11.4,229.0,44.86,1.0
548,21195,27.3,30302.0,10.4,315.4,38.45,1.0
549,21197,25.2,32041.0,15.5,162.2,118.92,1.0
550,21235,26.2,29813.0,12.6,325.4,28.06,1.0
551,22051,16.2,46500.0,7.4,122.1,4.39,1.0
552,22103,9.2,59389.0,6.3,143.4,14.97,1.0
553,23001,14.6,41831.0,8.6,111.4,11.14,1.0
554,23005,10.3,57424.0,6.5,85.2,4.97,1.0
555,23011,11.7,44725.0,7.6,120.1,9.82,1.0
556,23031,10.3,54076.0,8.0,80.8,8.12,1.0
557,24005,8.2,62300.0,8.3,83.2,1.86,1.0
558,25001,10.9,54871.0,9.9,87.4,9.73,1.0
559,25005,12.8,51361.0,10.6,91.3,14.04,1.0
560,25009,10.4,61604.0,8.7,68.6,6.46,1.0
561,25013,17.1,46356.0,10.3,91.2,9.49,1.0
562,25015,12.5,57558.0,7.0,72.1,6.96,1.0
563,25017,8.2,75364.0,6.9,51.3,5.59,1.0
564,25021,6.3,79899.0,7.4,59.6,8.2,1.0
565,25023,8.3,71555.0,8.9,74.3,7.48,1.0
566,25025,22.6,49584.0,7.6,51.8,8.45,1.0
567,25027,10.9,61079.0,8.8,77.3,9.52,1.0
568,26045,11.0,52300.0,9.6,99.6,9.28,1.0
569,26049,21.0,39271.0,14.0,127.3,19.02,1.0
570,26065,20.2,43414.0,10.3,94.5,7.48,1.0
571,26077,20.0,43957.0,10.0,101.9,7.19,1.0
572,26081,16.3,47897.0,10.1,88.5,5.97,1.0
573,26093,7.2,65729.0,11.2,69.4,6.08,1.0
574,26099,12.7,49348.0,13.9,110.1,11.65,1.0
575,26121,21.0,39075.0,14.5,146.9,15.68,1.0
576,26125,10.3,60392.0,11.8,83.1,1.0,1.0
577,26147,15.4,44706.0,16.4,104.1,12.88,1.0
578,26155,15.0,45444.0,12.9,101.5,19.82,1.0
579,26161,13.0,56177.0,8.1,66.9,5.22,1.0
580,26163,23.9,39421.0,15.5,98.4,6.7,1.0
581,27003,7.4,65732.0,8.0,67.0,8.77,1.0
582,27037,7.0,69688.0,7.0,60.7,4.77,1.0
583,27053,13.7,59252.0,7.0,55.2,5.55,1.0
584,27123,17.2,50224.0,7.5,56.1,4.72,1.0
585,28121,13.8,51007.0,6.9,118.8,12.71,1.0
586,29019,18.8,42202.0,6.5,56.6,6.15,1.0
587,29047,9.5,55835.0,8.4,97.0,7.66,1.0
588,29071,14.1,47530.0,11.3,107.1,14.78,1.0
589,29077,19.1,38059.0,8.3,143.8,17.81,1.0
590,29095,16.8,44620.0,10.7,89.1,9.34,1.0
591,29099,12.1,52841.0,10.4,91.7,21.49,1.0
592,29161,18.0,39765.0,9.0,180.4,22.15,1.0
593,29183,6.1,65281.0,8.2,89.0,10.82,1.0
594,29189,10.5,55290.0,8.9,81.6,11.11,1.0
595,29510,27.7,32767.0,11.5,61.1,17.54,1.0
596,30063,15.0,44084.0,7.3,109.2,10.06,1.0
597,31055,14.7,50270.0,5.1,72.0,5.8,1.0
598,32003,15.0,51427.0,13.8,94.1,15.27,1.0
599,32019,11.4,47108.0,17.5,94.4,23.09,1.0
600,32023,18.7,41054.0,17.3,142.3,36.41,1.0
601,32031,15.3,50839.0,12.9,102.3,17.8,1.0
602,33011,7.6,67650.0,6.2,74.3,11.23,1.0
603,33015,5.7,73402.0,6.0,77.0,6.77,1.0
604,33017,11.1,52527.0,5.7,103.3,8.93,1.0
605,34001,13.6,51457.0,12.3,83.4,8.38,1.0
606,34003,6.9,77059.0,8.0,50.0,2.98,1.0
607,34013,16.4,52288.0,10.8,44.1,6.0,1.0
608,34017,16.5,53547.0,9.6,40.6,3.78,1.0
609,34021,11.7,70228.0,8.4,59.3,5.46,1.0
610,34023,7.7,75890.0,9.0,55.9,5.31,1.0
611,34025,6.8,80462.0,8.7,68.6,6.98,1.0
612,34027,5.7,91403.0,7.4,51.7,2.64,1.0
613,34029,11.0,56924.0,10.3,85.1,2.25,1.0
614,34031,15.6,53363.0,11.4,51.3,5.19,1.0
615,34037,5.7,81330.0,9.4,60.0,10.05,1.0
616,34039,10.9,65937.0,9.5,50.2,5.03,1.0
617,35001,16.4,47405.0,7.7,90.8,11.77,1.0
618,35013,25.4,35584.0,7.8,62.2,7.17,1.0
619,35049,16.5,48507.0,6.8,110.4,11.1,1.0
620,36005,30.0,32674.0,12.0,36.5,4.91,1.0
621,36007,16.5,43920.0,8.7,85.8,4.99,1.0
622,36027,8.2,68831.0,7.7,69.5,10.76,1.0
623,36029,14.3,46773.0,8.3,88.9,5.33,1.0
624,36047,22.9,42047.0,9.9,28.1,4.95,1.0
625,36055,15.1,49564.0,8.0,63.3,5.24,1.0
626,36059,6.2,90294.0,7.1,51.4,5.3,1.0
627,36061,16.6,63188.0,8.6,47.0,2.96,1.0
628,36063,14.1,44006.0,9.6,100.3,10.63,1.0
629,36067,14.1,50298.0,8.0,54.1,5.78,1.0
630,36071,11.4,65512.0,8.0,67.6,8.32,1.0
631,36081,15.1,52486.0,8.6,28.2,3.77,1.0
632,36085,12.1,69163.0,9.4,61.4,10.03,1.0
633,36087,11.6,79798.0,7.5,39.7,3.21,1.0
634,36103,6.6,81235.0,7.7,70.5,9.78,1.0
635,36119,9.0,76993.0,7.4,43.0,3.79,1.0
636,37019,16.5,44186.0,12.5,121.7,17.69,1.0
637,37021,17.1,42846.0,8.6,105.3,7.55,1.0
638,37023,18.7,38541.0,12.9,146.5,17.6,1.0
639,37025,12.5,49355.0,11.5,114.1,10.11,1.0
640,37035,14.5,41782.0,13.1,134.7,8.42,1.0
641,37039,18.1,32963.0,12.9,143.6,36.44,1.0
642,37045,20.9,38392.0,14.8,154.3,15.29,1.0
643,37047,26.9,32518.0,13.4,173.6,18.93,1.0
644,37051,18.2,43356.0,10.1,91.5,7.51,1.0
645,37057,17.3,40618.0,12.3,94.8,7.37,1.0
646,37063,18.4,48023.0,8.2,69.4,4.86,1.0
647,37067,16.7,44443.0,10.1,91.6,3.71,1.0
648,37071,19.9,40332.0,13.5,143.8,16.98,1.0
649,37081,17.9,42415.0,11.1,90.1,4.71,1.0
650,37085,16.7,40956.0,11.3,72.8,8.72,1.0
651,37087,14.6,39987.0,10.3,103.2,20.33,1.0
652,37089,15.8,43589.0,9.1,102.7,14.99,1.0
653,37097,13.3,46576.0,12.9,113.2,10.04,1.0
654,37101,16.1,46922.0,9.9,72.8,11.84,1.0
655,37119,15.6,52363.0,10.7,66.6,4.57,1.0
656,37129,18.1,46129.0,9.7,122.0,11.84,1.0
657,37133,15.8,41969.0,8.3,84.2,5.63,1.0
658,37147,21.6,39519.0,10.2,95.6,5.95,1.0
659,37151,18.1,39648.0,12.0,82.0,9.88,1.0
660,37157,18.5,38063.0,13.2,149.0,13.88,1.0
661,37159,20.1,38658.0,14.1,96.8,12.28,1.0
662,37167,15.4,42854.0,13.2,128.7,21.46,1.0
663,37171,19.3,36622.0,12.0,185.5,20.36,1.0
664,37183,12.0,61594.0,8.3,66.8,3.88,1.0
665,37191,19.7,40274.0,9.2,73.1,8.16,1.0
666,37193,19.9,34886.0,13.4,110.4,20.19,1.0
667,39017,13.5,54359.0,10.0,108.2,12.5,1.0
668,39023,20.0,40524.0,11.0,125.4,11.57,1.0
669,39025,9.6,56628.0,10.4,124.5,23.81,1.0
670,39035,18.2,41407.0,8.5,79.1,10.47,1.0
671,39041,5.8,85628.0,7.2,76.4,6.89,1.0
672,39045,11.2,55805.0,9.2,102.4,8.89,1.0
673,39049,18.8,47621.0,8.9,120.3,13.75,1.0
674,39061,18.5,46359.0,9.9,105.5,11.59,1.0
675,39085,9.6,52854.0,7.9,88.8,14.78,1.0
676,39089,12.4,51247.0,9.6,83.9,6.61,1.0
677,39093,14.3,50092.0,9.1,93.9,4.31,1.0
678,39095,19.8,39200.0,11.5,112.2,8.15,1.0
679,39097,15.0,48295.0,9.0,70.3,25.33,1.0
680,39099,17.1,38205.0,11.7,130.4,15.07,1.0
681,39113,18.0,40885.0,11.4,120.3,8.41,1.0
682,39133,15.1,49287.0,10.3,84.4,6.81,1.0
683,39139,14.7,41462.0,12.1,110.4,9.64,1.0
684,39141,19.3,41318.0,11.9,164.2,19.22,1.0
685,39151,14.6,42805.0,11.3,115.9,7.46,1.0
686,39153,15.4,45768.0,10.6,110.7,8.31,1.0
687,39155,18.2,40389.0,13.2,114.1,16.64,1.0
688,39159,8.2,63233.0,8.4,86.2,21.03,1.0
689,39165,5.9,67172.0,9.0,86.4,8.46,1.0
690,40027,13.5,51468.0,5.3,127.9,12.51,1.0
691,40037,15.6,41331.0,8.6,137.1,22.87,1.0
692,40101,20.6,38528.0,8.2,124.1,15.5,1.0
693,40109,17.6,42758.0,6.1,152.5,13.92,1.0
694,40143,15.8,44231.0,7.0,140.2,18.06,1.0
695,40145,11.5,56216.0,6.8,50.2,26.0,1.0
696,41005,10.4,57960.0,10.1,97.4,7.98,1.0
697,41017,14.8,46631.0,13.8,113.9,8.24,1.0
698,41029,15.7,40603.0,12.5,141.4,5.41,1.0
699,41039,19.1,40545.0,11.0,117.2,8.53,1.0
700,41043,18.1,43019.0,12.8,126.8,9.43,1.0
701,41047,17.9,44725.0,11.2,85.9,7.93,1.0
