,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
243,36061,19,71443,7.5,45.0,6.09
244,36063,13.8,46752,8.5,84.7,12.14
245,36065,17.6,44031,7.4,64.9,7.28
246,36067,15.3,52055,6.8,49.5,10.03
247,36069,10,57846,6.3,57.0,9.17
248,36071,13.6,68249,6.8,67.1,12.51
249,36075,18.6,46281,9.9,46.7,14.86
250,36079,5.8,92014,6.1,42.2,12.04
251,36081,15.4,56307,7.7,26.9,5.53
252,36085,13.1,68621,9,51.7,12.91
253,36087,14.8,80132,6.3,37.9,7.79
254,36089,21.4,43556,9.1,26.8,8.93
255,36103,7.5,84940,6.6,59.1,14.27
256,36105,19.4,46928,8.1,85.4,23.48
257,36119,9.9,83094,6.3,39.7,7.74
258,37001,19.8,43001,7.3,98.1,6.48
259,37019,16.1,47799,9.8,124.8,22.55
260,37021,15.7,45738,6,99.0,5.65
261,37023,20.6,36150,8.3,167.0,25.6
262,37025,12.1,55046,7.6,113.3,11.75
263,37035,16.5,43777,8.5,149.2,12.27
264,37049,16.6,45022,8.7,161.0,12.44
265,37051,18,44038,9.7,100.7,6.14
266,37057,19.3,40424,8.2,91.8,16.52
267,37063,17,52331,6.3,60.5,6.59
268,37067,20.5,46163,7.5,98.0,7.75
269,37071,19.2,42461,9,144.6,17.19
270,37081,19.2,46093,8.2,90.2,3.36
271,37089,15.5,44561,6.2,97.8,16.43
272,37097,12.7,49983,8.4,119.0,9.12
273,37101,16.6,50904,7.1,75.0,6.74
274,37109,14.6,50537,8.3,132.5,17.56
275,37119,15.5,54657,7.5,65.7,4.64
276,37129,18.9,48651,7.6,118.9,14.07
277,37133,16.9,45213,7,95.2,8.1
278,37147,25.4,40940,8.1,99.4,6.89
279,37151,19.8,40896,8.6,81.9,13.33
280,37155,30.7,30248,11.9,132.4,8.9
281,37159,18.8,41475,9.3,100.3,10.84
282,37179,10.3,63912,6.6,78.1,7.52
283,37183,10.9,65433,6,64.0,4.82
284,37193,23.1,35895,8.9,105.4,27.53
285,39003,16.1,43274,7.8,113.8,11.4
286,39007,18.9,40899,9.5,91.5,11.02
287,39015,17.8,43050,10.2,109.0,27.11
288,39017,13.3,55992,7.5,95.4,25.05
289,39023,18.2,44029,7.5,114.6,19.83
290,39025,9.7,61398,7.4,104.6,28.97
291,39035,19.2,43653,7,73.4,17.42
292,39041,5.6,89016,5.3,66.4,7.03
293,39045,11.8,56697,6.7,87.9,9.4
294,39049,17.7,51456,6.4,96.7,12.37
295,39055,7.4,69078,5.7,65.9,11.71
296,39057,12.8,60093,7,94.3,7.97
297,39061,18.7,47123,7.3,91.5,24.24
298,39077,14.6,44825,10.2,116.8,22.08
299,39085,9.4,55477,6.2,88.1,16.1
300,39089,11.2,54909,6.9,79.8,10.69
301,39093,14.6,52762,7.3,90.0,20.47
302,39095,21.6,40751,8.7,113.5,11.69
303,39099,18,41076,8.5,117.8,16.25
304,39101,16.3,42862,7.9,114.7,25.79
305,39103,6.6,66720,5.8,82.9,8.0
306,39113,18.8,43103,8.3,113.5,15.86
307,39133,16.9,52576,7.7,70.4,7.93
308,39139,17.6,40210,8.6,92.3,18.89
309,39141,19.4,42730,8.7,125.2,17.97
310,39145,24.5,36682,11.9,128.3,12.8
311,39151,15.4,45199,7.6,113.3,10.65
312,39153,14.8,49353,7.6,94.4,10.15
313,39155,18.7,41951,9.4,107.6,14.53
314,39165,7.3,75041,6.4,79.4,8.67
315,40017,7.3,63889,4.1,113.4,10.31
316,40019,17.3,43030,5.3,212.0,26.81
317,40027,12.7,54865,4.3,99.1,11.51
318,40037,14.9,44608,6,149.3,17.03
319,40101,19.9,38574,6.5,138.9,19.91
320,40109,17.5,45988,4.8,143.3,12.84
321,40135,25,33912,8.4,85.9,33.97
322,40143,15.7,48082,5.1,159.6,14.94
323,40145,11.5,53098,5.1,80.6,18.49
324,41005,9.7,66514,7.1,87.8,8.24
325,41017,15.2,49427,9.5,105.5,7.23
326,41029,18.7,43393,9.7,132.4,8.15
